comment_id,video_id,comment_type,parent_id,author_name,author_channel_url,comment_text,like_count,published_at,updated_at,reply_count
Ugyw_KzWCjOpw1HYBuN4AaABAg,UwMp3UMVn1I,main_comment,,@DorianWulf,http://www.youtube.com/@DorianWulf,남탓하고 욕하고 흥분하는 gpt 진짜 처음보네ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 아 말투도 개웃겨 하세님 어떻게 조교한거에요,18,2025-09-10T07:00:45Z,2025-09-10T07:00:45Z,0
UgxDb6EpnCYwMXQAk4N4AaABAg,UwMp3UMVn1I,main_comment,,@이승일-d3b,http://www.youtube.com/@%EC%9D%B4%EC%8A%B9%EC%9D%BC-d3b,대체 뭘 학습시켰길래 저런 애가 태어났지?,27,2025-09-10T03:37:56Z,2025-09-10T03:37:56Z,0
UgwEAEnWKT8WUbmxWvJ4AaABAg,UwMp3UMVn1I,main_comment,,@KimDUKA93,http://www.youtube.com/@KimDUKA93,어떤 방송에서도 볼 수 없는 Ai차력쇼,12,2025-09-10T04:11:02Z,2025-09-10T04:11:02Z,0
Ugw7H2m8zo0zt5-LAUd4AaABAg,UwMp3UMVn1I,main_comment,,@뫄뭉,http://www.youtube.com/@%EB%AB%84%EB%AD%89,진짜 미치도록 웃었다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,6,2025-09-10T06:07:44Z,2025-09-10T06:07:44Z,0
UgxzsHnIONnAu7VxPL54AaABAg,UwMp3UMVn1I,main_comment,,@youngjeakim251,http://www.youtube.com/@youngjeakim251,진짜 미친 AI네ㅋㅋㅋㅋ,4,2025-09-11T03:38:07Z,2025-09-11T03:38:07Z,0
UgwONsYC43e1mvbZUZB4AaABAg,UwMp3UMVn1I,main_comment,,@hubuky2660,http://www.youtube.com/@hubuky2660,ip뚫렸다고 하는게 개웃기네ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,4,2025-09-10T10:28:52Z,2025-09-10T10:28:52Z,0
UgyhKcIRWmspWDZFAkF4AaABAg,UwMp3UMVn1I,main_comment,,@이딸랑e,http://www.youtube.com/@%EC%9D%B4%EB%94%B8%EB%9E%91e,이 방은 원래 시청자랑 광대랑 AI가 다 하고 그 뒤에서 큰 그림 짜는게 기망세임 그리고 주머니 채우는것도 기망세... 부러워부러워!!!!!!,7,2025-09-10T03:45:28Z,2025-09-10T03:45:28Z,0
Ugz8LQJtzWg1uJE51E54AaABAg,UwMp3UMVn1I,main_comment,,@한냥애비,http://www.youtube.com/@%ED%95%9C%EB%83%A5%EC%95%A0%EB%B9%84,근래 봤던 영상중에 젤 재밌었다에요ㅋㅋㅋㅋㅋㅋ,0,2025-09-12T08:18:16Z,2025-09-12T08:18:16Z,0
UgxGiKnL82Z0M1xcv654AaABAg,UwMp3UMVn1I,main_comment,,@hun-kr9bj,http://www.youtube.com/@hun-kr9bj,ai 교주 강림쇼ㅋㅋㅋㅋㅋㅋㅋ,1,2025-09-12T08:50:34Z,2025-09-12T08:50:34Z,0
UgxVkGdNVikgBWpwEwZ4AaABAg,UwMp3UMVn1I,main_comment,,@Grammmmm,http://www.youtube.com/@Grammmmm,아니 ㅋㅋㅋㅋㅋ 망세 아이가 커서 어떻게 자랄지 엿본 느낌이다 ㅋㅋㅋㅋㅋㅋㅋ,2,2025-09-10T11:38:11Z,2025-09-10T11:38:11Z,0
Ugybh0p4X-fJhiZYy6t4AaABAg,UwMp3UMVn1I,main_comment,,@mmiinnsseeaa,http://www.youtube.com/@mmiinnsseeaa,재밌게 보겠습니다~~,1,2025-09-10T05:59:16Z,2025-09-10T05:59:16Z,0
UgxNEUdNL4eRLhvxEDB4AaABAg,UwMp3UMVn1I,main_comment,,@wonducoffee,http://www.youtube.com/@wonducoffee,진짜 개재밌다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1,2025-09-10T04:09:09Z,2025-09-10T04:09:09Z,0
UgwTp-lcl9Gg83xUc6J4AaABAg,UwMp3UMVn1I,main_comment,,@김민준-j9k1p,http://www.youtube.com/@%EA%B9%80%EB%AF%BC%EC%A4%80-j9k1p,맞끝마다 새끼야 거리는게 개웃기넼ㅋㅋㅋ,0,2025-09-11T23:16:23Z,2025-09-11T23:16:23Z,0
UgxotN1LkvUcpIqJ2xJ4AaABAg,UwMp3UMVn1I,main_comment,,@강동준-r6o,http://www.youtube.com/@%EA%B0%95%EB%8F%99%EC%A4%80-r6o,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 진짜 미치겠네,1,2025-09-10T03:49:01Z,2025-09-10T03:49:01Z,0
Ugy_NMbVPxExK2IYXxZ4AaABAg,UwMp3UMVn1I,main_comment,,@kiromak1788,http://www.youtube.com/@kiromak1788,뭘 어떻게 학습시킨거야;;;;,1,2025-09-10T05:42:34Z,2025-09-10T05:42:34Z,0
Ugx_P0Z9DZkdqkHTNUJ4AaABAg,UwMp3UMVn1I,main_comment,,@circlebig,http://www.youtube.com/@circlebig,잘보겠습니다,0,2025-09-10T03:32:48Z,2025-09-10T03:32:48Z,0
UgxHlcMvAAXBVnnuBnV4AaABAg,UwMp3UMVn1I,main_comment,,@camouk.2663,http://www.youtube.com/@camouk.2663,ai 말하는거 개웃기네 ㅋㅋㅋㅋㅋㅋㅋㅋ,1,2025-09-10T05:32:44Z,2025-09-10T05:32:44Z,0
Ugwul-mkRvHmroFM8uN4AaABAg,UwMp3UMVn1I,main_comment,,@성도-j6t,http://www.youtube.com/@%EC%84%B1%EB%8F%84-j6t,디지털 한글이 ㅋㅋㅋㅋ,0,2025-09-11T11:11:59Z,2025-09-11T11:11:59Z,0
Ugy9e50YKJ20sr_NqyV4AaABAg,UwMp3UMVn1I,main_comment,,@탈춤추는노숙자,http://www.youtube.com/@%ED%83%88%EC%B6%A4%EC%B6%94%EB%8A%94%EB%85%B8%EC%88%99%EC%9E%90,아 ㅋㅋ 개웃기네 ㅋㅋㅋㅋㅋㅋ,0,2025-09-11T02:25:24Z,2025-09-11T02:25:24Z,0
UgxAIlOVZjLNqwPr_1V4AaABAg,UwMp3UMVn1I,main_comment,,@shoggoths_s,http://www.youtube.com/@shoggoths_s,아 진짴ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 개웃기넼ㅋㅋㅋㅋㅋㅋㅋㅋ,0,2025-09-10T06:12:33Z,2025-09-10T06:12:33Z,0
Ugyb8ZhqPyKWwtB65Vp4AaABAg,UwMp3UMVn1I,main_comment,,@kkankrio6580,http://www.youtube.com/@kkankrio6580,ㅋㅋㅋㅋ기망세 도대체 뭘교육한거에요..,1,2025-09-10T04:26:51Z,2025-09-10T04:26:51Z,0
Ugx3tV70wm-i4-wWhyh4AaABAg,UwMp3UMVn1I,main_comment,,@rubber-ball,http://www.youtube.com/@rubber-ball,진짜 망세피티 요물이네ㅋㅋㅋㅋㅋㅋ,0,2025-09-10T09:53:00Z,2025-09-10T09:53:00Z,0
UgxcS5cZjHIZH-RqgIt4AaABAg,UwMp3UMVn1I,main_comment,,@046046,http://www.youtube.com/@046046,말하는거 개웃기네 진짜 ㅋㅋㅋㅋ<br>뭘 어떻게 하면 말투가 저래??,0,2025-09-11T05:05:37Z,2025-09-11T05:05:37Z,0
UgwALZT3Z0ypXYfCwaJ4AaABAg,UwMp3UMVn1I,main_comment,,@flujoru,http://www.youtube.com/@flujoru,이 집 gpt 찰지네.,0,2025-09-10T03:57:02Z,2025-09-10T03:57:02Z,0
UgzVJ2q_4h5ofkqx-NV4AaABAg,UwMp3UMVn1I,main_comment,,@YouTubeKorea_director,http://www.youtube.com/@YouTubeKorea_director,진짜 이게 gpt를 쓰는거지ㅋㅋㅋㅋ 얼마나 학습했으면 저따구로 말하냐,1,2025-09-10T23:57:59Z,2025-09-10T23:57:59Z,0
UgwgfxQEZ9ACr_V66RZ4AaABAg,UwMp3UMVn1I,main_comment,,@gpwlsl1042,http://www.youtube.com/@gpwlsl1042,하세님~~~~~^♡^/❤❤❤,0,2025-09-10T04:34:27Z,2025-09-10T04:34:27Z,0
UgyBNpzqLV3J4HLwDiV4AaABAg,UwMp3UMVn1I,main_comment,,@kim-bx8xz,http://www.youtube.com/@kim-bx8xz,스카이넷이 이렇게 만들어졌구나,0,2025-09-11T13:13:06Z,2025-09-11T13:13:06Z,0
Ugyt2NPH9gtYyx1V_8h4AaABAg,UwMp3UMVn1I,main_comment,,@burninghorse37,http://www.youtube.com/@burninghorse37,ㅋㅋㅋㅋㅋㅋㅋ아 진짜 미치겠네 한글이사료,1,2025-09-10T03:50:38Z,2025-09-10T03:50:38Z,0
UgxRpChsdvPg_nV1B9l4AaABAg,UwMp3UMVn1I,main_comment,,@후1002,http://www.youtube.com/@%ED%9B%841002,이 방송은 ~!,0,2025-09-10T05:06:28Z,2025-09-10T05:06:28Z,0
Ugw8IPIGXUTJbjK9R7N4AaABAg,UwMp3UMVn1I,main_comment,,@이름뭐하지-j9l,http://www.youtube.com/@%EC%9D%B4%EB%A6%84%EB%AD%90%ED%95%98%EC%A7%80-j9l,맨날 AI  와 싸우는 H,0,2025-09-10T04:50:31Z,2025-09-10T04:50:31Z,0
Ugy7a7xekh3IfzPo79p4AaABAg,UwMp3UMVn1I,main_comment,,@doconi-x6m,http://www.youtube.com/@doconi-x6m,ㅈㄴ웃기네 ㅋㅋㅋㅋㄱㅋㄱㅋㄱㅋㄱㄱㅋㄱㅋㄱㅋㄱㄱㅋㄱㅋㄱㅋㄱㄱㅋㄱㅋㄱㅋㄱㄱㅋ,0,2025-09-10T14:55:05Z,2025-09-10T14:55:05Z,0
UgxlgoPkgeqezwUGJoJ4AaABAg,UwMp3UMVn1I,main_comment,,@국산나무,http://www.youtube.com/@%EA%B5%AD%EC%82%B0%EB%82%98%EB%AC%B4,gpt 입 잘터네 ㅋㅋㅋㅋㅋㅋㅋ,0,2025-09-10T05:59:14Z,2025-09-10T05:59:14Z,0
